Time,Time Code,Country Name,Country Code,Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],Rural population (% of total population) [SP.RUR.TOTL.ZS],Population in urban agglomerations of more than 1 million (% of total population) [EN.URB.MCTY.TL.ZS]
2019,YR2019,Afghanistan,AFG,25.754,0.682287828246046,74.246,10.8924664317099
2019,YR2019,Australia,AUS,86.124,5.74886126457436,13.876,60.9701799412398
2019,YR2019,France,FRA,80.709,0.0337878193709454,19.291,22.741165745516
2019,YR2019,Germany,DEU,77.376,0.0926260316690242,22.624,9.60016324848307
2019,YR2019,Indonesia,IDN,55.985,3.23583967668836,44.015,13.5515891331941
2019,YR2019,United States,USA,82.459,0.557098125905551,17.541,46.4737333909952
2019,YR2019,United Kingdom,GBR,83.652,0.540491129160741,16.348,26.9586881996074
2019,YR2019,United Arab Emirates,ARE,86.789,16.8958990035406,13.211,64.2019997053733
2020,YR2020,Afghanistan,AFG,26.026,0.305978171646739,73.974,10.8321540748374
2020,YR2020,Australia,AUS,86.241,6.09315865556076,13.759,61.1256283225146
2020,YR2020,France,FRA,80.975,0.0266318650223516,19.025,22.8023776493702
2020,YR2020,Germany,DEU,77.453,0.0767453976974352,22.547,9.63083106717341
2020,YR2020,Indonesia,IDN,56.641,2.43866732275102,43.359,13.7086255002934
2020,YR2020,United States,USA,82.664,0.329505971924439,17.336,46.411534269736
2020,YR2020,United Kingdom,GBR,83.903,0.28397504842807,16.097,27.1371811675379
2020,YR2020,United Arab Emirates,ARE,87.048,11.9722335248016,12.952,65.0976727438976
2021,YR2021,Afghanistan,AFG,26.314,0.428525449642917,73.686,10.8125390809483
2021,YR2021,Australia,AUS,86.362,13.3578752832739,13.638,61.9236241957108
2021,YR2021,France,FRA,81.242,0.0325366370984223,18.758,22.8645084290986
2021,YR2021,Germany,DEU,77.544,0.0770848993139744,22.456,9.66128595629231
2021,YR2021,Indonesia,IDN,57.29,5.15704008451705,42.71,13.8911443775645
2021,YR2021,United States,USA,82.873,1.27994423022721,17.127,46.7324244128918
2021,YR2021,United Kingdom,GBR,84.152,0.588544260440276,15.848,27.4291348236898
2021,YR2021,United Arab Emirates,ARE,87.299,17.634095847399,12.701,65.8819804712047
2022,YR2022,Afghanistan,AFG,26.616,..,73.384,10.8388407715854
2022,YR2022,Australia,AUS,86.488,..,13.512,62.0165164807191
2022,YR2022,France,FRA,81.509,..,18.491,22.9265844232429
2022,YR2022,Germany,DEU,77.648,..,22.352,9.62080412792742
2022,YR2022,Indonesia,IDN,57.934,..,42.066,14.0861507754777
2022,YR2022,United States,USA,83.084,..,16.916,46.9607591740966
2022,YR2022,United Kingdom,GBR,84.398,..,15.602,27.7142935427879
2022,YR2022,United Arab Emirates,ARE,87.543,..,12.457,66.6222863812156
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: World Development Indicators,,,,,,,
Last Updated: 12/18/2023,,,,,,,
